=== SHEET: 기능정의서 ===
아이돌공구 기능정의서 v3									
아이돌 포토카드 분철 공구 플랫폼 | 플랫폼 계좌(가상계좌) 입금 · 영수증/송장 문서 AI 자동 구조화 · 단계별 갱신 리포트 | P0 필수·P1 우선·P2 고도화									
구분	화면ID	화면명	기능ID	기능명	상세 설명	입력값	출력·결과	연동·비고	우선순위
총대	CRTE	공구 개설	CRTE-05	총대 보증금 예치	모집액 10%(최소 3만·최대 30만) 전용 가상계좌 입금. 신뢰도 감면	보증금 입금	개설 승인	정산 시 반환·귀책 시 몰수	P0
총대	CRTE	공구 개설	CRTE-06	모집 중 수정 제한	인하·자리추가·연장(1회·7일)만 허용. 인상·축소·단축 불가	수정 요청	허용/차단	이력 기록	P0
총대	DASH	총대 대시보드	DASH-01	현황 요약	진행중·입금대기·공석·발송예정 지표	-	요약 카드	-	P0
총대	DASH	총대 대시보드	DASH-02	주문 현황	참여자·희망멤버·입금·주소 자동 취합표	-	주문 테이블	메모앱 대체	P0
총대	DASH	총대 대시보드	DASH-03	입금 현황 조회	가상계좌 입금 자동 확인 결과 조회(총대 수기 확인 불필요)	-	입금 현황	CHKO-02 연동	P0
총대	DASH	총대 대시보드	DASH-04	자리 채움·공석 현황	멤버별 채움률·공석 시각화	-	채움 그래프	-	P0
총대	DASH	총대 대시보드	DASH-05	AI 차등가격 추천	인기도 기반 공석 방지 가격 추천(인하만 적용)	공구 데이터	추천 가격	AI 모델	P2
총대	QFIL	공석 급구	QFIL-01	공석 급구 등록	공석 발생 시 원클릭 급구 등록	공석 자리	매칭 개시	-	P0
총대	QFIL	공석 급구	QFIL-02	대기자 즉시 매칭	자리 알림 대기자에게 즉시 푸시·홀드 선착순	자리·대기열	자리 충원	SRCH-04 연동	P0
총대	QFIL	공석 급구	QFIL-03	급구 공석 피드	검색 상단·'급구' 태그로 우선 노출	-	공석 리스트	검색 연동	P1
총대	SEAT	공석 처리	SEAT-01	공석 최종 처리	급구·인하로도 미달 시 공구 취소·전원 환불·보증금 반환	처리 방식	자리·환불	PLTF-02 연동	P0
총대	PACK	포장 취합	PACK-01	취합표 자동생성	전원 입금 마감 시 '누가·어떤 멤버·몇 장·어디로' 표 생성	-	포장 취합표	계산오류 방지	P0
총대	PURC	1차 구매	PURC-01	1차 구매 진행	전원 입금 완료 후 총대가 1차 판매처에서 앨범 구매	-	구매 진행	후구매 원칙	P0
총대	PURC	1차 구매	PURC-02	영수증 캡처 업로드	주문내역 캡처 업로드(모바일 스크린샷·다크모드·스크롤 캡처 허용)	영수증 이미지	업로드 완료	DOCS-01~03 호출	P0
총대	PURC	1차 구매	PURC-03	영수증 자동 구조화	판매처·주문번호·주문일시·앨범 수량·금액을 JSON으로 자동 추출	영수증 이미지	구조화 JSON	Parse→Extract	P0
총대	PURC	1차 구매	PURC-04	구매 자동 검증	①주문번호 전역 유니크 ②판매처 일치 ③주문일시>전원입금시각 ④앨범수량≥선언수량	구조화 JSON	검증 통과/보류	후구매 원칙 강제	P0
총대	PURC	1차 구매	PURC-05	구매 기한·소명	D+3 지연 알림, D+7 미이행 시 소명(48h), 무응답 시 잠수 확정	경과일·소명	단계 판정	보증금 몰수 연동	P0
총대	OPEN	개봉·배정	OPEN-01	개봉 결과 입력	앨범 개봉 후 나온 멤버별 포카 수량 입력	멤버별 수량	개봉 결과	수기 입력(문서 아님)	P0
총대	OPEN	개봉·배정	OPEN-02	개봉 인증샷 첨부	개봉 결과 사진 첨부. 참여자가 육안 대조	인증 사진	증빙 공개	조작 억제	P0
총대	OPEN	개봉·배정	OPEN-03	자리 배정 처리	개봉 결과를 자리에 배정. 배정 로그 기록·공개	배정 데이터	배정 결과	VERI-01 연동	P0
총대	OPEN	개봉·배정	OPEN-04	미배정 처리	나온 수량이 자리보다 부족하면 해당 자리 자동 환불 + 다음 공구 우선권	부족 자리	환불 처리	PLTF-01 연동	P0
총대	SHIP	발송 관리	SHIP-01	송장 캡처 업로드	택배사 앱 접수내역 캡처 업로드(여러 장 가능)	송장 이미지	업로드 완료	DOCS-01~03 호출	P0
총대	SHIP	발송 관리	SHIP-02	송장 자동 구조화·매칭	캡처에서 택배사·송장번호·받는분·주소를 행 단위 추출 → 참여자 자동 매칭	송장 이미지	송장 자동 입력	Parse 표구조 필수	P0
총대	SHIP	발송 관리	SHIP-03	매칭 확인·수동 보정	마스킹된 이름·동명이인 등 충돌 건만 총대가 원탭 확인	확인 선택	매칭 확정	DOCS-04 확인 큐	P0
총대	SHIP	발송 관리	SHIP-04	배송상태 자동 공유	송장 확정 시 참여자 리포트에 자동 반영	-	실시간 공유	신뢰 레이어	P0
총대	STLM	정산	STLM-01	정산 실행	전원 수령확인(또는 자동확정) 시 플랫폼→총대 계좌 자동 이체 + 보증금 반환	-	정산 완료	등록 계좌로 이체	P0
총대	STLM	정산	STLM-02	정산 내역 기록	건별 수익·비용·정산 내역 리스트화	-	정산 리스트	마이페이지 연동	P1
총대	STLM	정산	STLM-03	보증금 반환·몰수	정상 이행→반환 / 잠수·미이행→몰수·참여자 보상	이행 결과	보증금 처리	분쟁 연동	P0
문서 AI	-	(화면 없음)	DOCS-01	문서 구조 복원	Document Parse로 캡처의 표 구조·레이아웃·좌표 복원. 다건(송장) 행 정합성 확보	이미지	구조화 HTML+좌표	Upstage Document Parse	P0
문서 AI	-	(화면 없음)	DOCS-02	필드 추출	Information Extract로 스키마 기반 필드 추출. 판매처·택배사별 양식 차이를 동일 JSON으로 정규화	구조화 HTML	필드 JSON	Upstage Information Extract	P0
문서 AI	-	(화면 없음)	DOCS-03	민감정보 자동 마스킹	Parse 좌표로 카드번호·주소·연락처 영역만 가림. 원본 미저장	이미지+좌표	마스킹 이미지	원본 저장 금지	P0
문서 AI	-	(화면 없음)	DOCS-04	신뢰도 기반 확인 큐	필드 confidence 임계값 미달·매칭 충돌 건만 총대 확인 UI로 회송	추출 결과	자동/확인 분기	100% 자동 아님	P0
문서 AI	-	(화면 없음)	DOCS-05	추출·수정 로그	추출값·신뢰도·총대 수정값을 로깅. 스키마 개선 재료	처리 이력	개선 지표	파이프라인 관리	P1
문서 AI	-	(화면 없음)	DOCS-06	캡처 전처리	다크모드 반전·스크롤 캡처 병합·중복 행 제거	원본 이미지	정규화 이미지	모바일 캡처 대응	P1
리포트	RPTG	공구 리포트(총대)	RPT-01	총대 리포트	단계별로 계속 갱신되는 공구 진행 리포트. 모집·입금·구매·개봉·배송·정산 전 구간	공구 데이터	리포트 화면	실시간 갱신	P0
리포트	RPTB	공구 리포트(참여자)	RPT-02	참여자 리포트	내 자리 기준으로 정리된 진행 리포트. 본인 정보만 노출	참여 데이터	리포트 화면	실시간 갱신	P0
리포트	RPTG	공구 리포트(총대)	RPT-03	증빙 자동 편입	영수증·송장 구조화 결과가 리포트에 자동 편입. 총대 수기 정리 불필요	DOCS 결과	증빙 섹션	문서 AI 연동	P0
리포트	RPTB	공구 리포트(참여자)	RPT-04	공개 범위 제어	참여자에겐 본인 배송지·금액만. 타인 정보·총대 정산액 비공개	역할·권한	필터된 리포트	개인정보 보호	P0
리포트	RPTB	공구 리포트(참여자)	RPT-05	리포트 공유 링크	외부 공유용 읽기전용 링크(민감정보 제외)	공유 클릭	공유 URL	커뮤니티 확산	P1
신뢰 레이어	-	(화면 없음)	TRST-01	총대 신뢰도 산정	완료건수·후기·발송소요·신고·보증금 이력 정량화	활동 데이터	신뢰 점수·배지	횡단 기능	P0
신뢰 레이어	-	(화면 없음)	PLTF-01	플랫폼 예치금 보관·해제	입금액을 플랫폼 계좌에 보관, 수령확인 시 해제·정산	입금·수령	자금 흐름	가상계좌 연동	P0
신뢰 레이어	-	(화면 없음)	PLTF-02	모집 미달 자동환불	마감까지 미달 시 공구 취소·전원 등록계좌로 자동 환불	-	자동 환불	보증금 반환	P0
신뢰 레이어	-	(화면 없음)	DEPO-01	총대 보증금 산정·처리	모집액 10%(최소3만·최대30만), 신뢰도 등급별 5~10%. 예치→반환/몰수	모집액·신뢰도·이행결과	보증금 상태	먹튀 방지 핵심	P0
신뢰 레이어	-	(화면 없음)	VERI-01	배정 투명성 기록	개봉·배정 결과 기록·공개. 조작 방지	배정 데이터	배정 로그	OPEN-03 연동	P0
신뢰 레이어	-	(화면 없음)	LIVE-01	상태 동기화	총대 입력·문서 처리 결과를 참여자 리포트에 즉시 반영	상태 변경	실시간 갱신	웹소켓/푸시	P0
마이페이지	MYPG	마이페이지 홈	MYPG-01	프로필·메뉴	프로필 요약 + 하위 메뉴 진입	-	마이페이지	-	P0
마이페이지	MACC	계좌 관리	MACC-01	환급·정산 계좌 관리	등록 계좌 조회·변경	계좌정보	계좌 목록	진행중 건 있으면 변경 제한	P1
마이페이지	MGBY	내 공구 관리	MGBY-01	공구 개설/수정/마감	총대 공구 관리·보증금 현황	-	공구 목록	보증금 연동	P1
마이페이지	MJPT	내 참여 관리	MJPT-01	진행중/완료 관리	참여 이력 조회	-	참여 이력	-	P1
마이페이지	MSTL	정산·환불 내역	MSTL-01	정산·환불·보증금 내역	건별 정산·환불·보증금 반환/몰수 내역	-	내역 리스트	-	P1
마이페이지	MTRS	신뢰도·후기 관리	MTRS-01	내 신뢰도/후기	받은 평점·후기·신뢰도 확인	-	신뢰도 화면	-	P2
마이페이지	MINF	내 정보 관리	MINF-01	프로필 수정	이미지·닉네임·관심 아이돌 수정	이미지·닉네임	프로필 갱신	-	P1
마이페이지	MALM	알림 설정	MALM-01	알림 on/off	자리·진행·정산·마케팅 알림 설정	설정값	알림 정책	푸시 연동	P1
마이페이지	MCS	고객센터	MCS-01	문의·분쟁 접수	FAQ·1:1 문의·분쟁 신고	문의 내용	티켓 생성	분쟁 프로세스	P1
